METADATA

SEPARATOR COMMA
FIELD_LABELS,Class,Order,Family,Subfamily,Genus,Species,Virus name(s)
NC_054441,Caudoviricetes,,,Gclasvirinae,Liefievirus,Liefievirus rabbs,Mycobacterium phage Rabbs
NC_054440,Caudoviricetes,,,Gclasvirinae,Liefievirus,Liefievirus taheera,Mycobacterium phage Taheera
NC_008202,Caudoviricetes,,,Gclasvirinae,Liefievirus,Mycobacterium virus Halo,Mycobacterium phage Halo
NC_023705,Caudoviricetes,,,Gclasvirinae,Liefievirus,Mycobacterium virus Liefie,Mycobacterium phage Liefie
NC_028791,Caudoviricetes,,,Gclasvirinae,Pinnievirus,Pinnievirus moorethemaryer,Mycobacterium phage MOOREtheMARYer
NC_054447,Caudoviricetes,,,Gclasvirinae,Pinnievirus,Pinnievirus pinnie,Mycobacterium phage Pinnie
NC_054984,Caudoviricetes,,,Gochnauervirinae,Dragolirvirus,Dragolirvirus dragolir,Paenibacillus phage Dragolir
NC_028746,Caudoviricetes,,,Gochnauervirinae,Harrisonvirus,Harrisonvirus harrison,Paenibacillus phage Harrison
NC_028767,Caudoviricetes,,,Gochnauervirinae,Vegasvirus,Vegasvirus vegas,Paenibacillus phage Vegas
NC_054985,Caudoviricetes,,,Gochnauervirinae,Wanderervirus,Wanderervirus wanderer,Paenibacillus phage Wanderer
NC_028903,Caudoviricetes,,,Gordonclarkvirinae,Kuravirus,Kuravirus kv1721,Escherichia phage 172-1
NC_018835,Caudoviricetes,,,Gordonclarkvirinae,Kuravirus,Kuravirus NJ01,Escherichia phage NJ01
NC_070992,Caudoviricetes,,,Gordonclarkvirinae,Kuravirus,Kuravirus paul,Escherichia phage Paul
NC_010324,Caudoviricetes,,,Gordonclarkvirinae,Kuravirus,Kuravirus phiEco32,Escherichia phage phiEco32
NC_027395,Caudoviricetes,,,Gordonclarkvirinae,Kuravirus,Kuravirus SU10,Escherichia phage vB_EcoP_SU10
NC_070991,Caudoviricetes,,,Gordonclarkvirinae,Kuravirus,Kuravirus WFI101126,Escherichia phage vB_EcoP_WFI101126
NC_023593,Caudoviricetes,,,Gordonclarkvirinae,Nieuwekanaalvirus,Nieuwekanaalvirus KBNP1711,Escherichia phage KBNP1711
NC_018859,Caudoviricetes,,,Gordonclarkvirinae,Suseptimavirus,Suseptimavirus ECBP2,Escherichia phage ECBP2
NC_042054,Caudoviricetes,,,Gorskivirinae,Flaumdravirus,Flaumdravirus KIL2,Pseudomonas phage vB_PsyM_KIL4
NC_030934,Caudoviricetes,,,Gorskivirinae,Flaumdravirus,Flaumdravirus KIL4,Pseudomonas phage vB_PsyM_KIL1
NC_029065,Caudoviricetes,,,Gorskivirinae,Kremarvirus,Kremarvirus VCM,Pseudomonas phage VCM
NC_023601,Caudoviricetes,,,Gorskivirinae,Otagovirus,Otagovirus Psa374,Pseudomonas phage phiPsa374
NC_023698,Caudoviricetes,,,Gracegardnervirinae,Avanivirus,Avanivirus avani,Mycobacterium phage Avani
NC_004686,Caudoviricetes,,,Gracegardnervirinae,Avanivirus,Avanivirus Che9d,Mycobacterium phage Che9d
NC_051722,Caudoviricetes,,,Gracegardnervirinae,Avanivirus,Avanivirus demsculpinboyz,Mycobacterium phage Demsculpinboyz
NC_051723,Caudoviricetes,,,Gracegardnervirinae,Avanivirus,Avanivirus soul22,Mycobacterium phage Soul22
NC_042030,Caudoviricetes,,,Gracegardnervirinae,Avanivirus,Avanivirus yoshi,Mycobacterium phage Yoshi
NC_051724,Caudoviricetes,,,Gracegardnervirinae,Avanivirus,Avanivirus zapner,Mycobacterium phage Zapner
NC_051633,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus arcusangelus,Mycobacterium phage ArcusAngelus
NC_051634,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus batiatus,Mycobacterium phage Batiatus
NC_051635,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus blexus,Mycobacterium phage Blexus
NC_051636,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus bobaphett,Mycobacterium phage BobaPhett
NC_051637,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus bodeinwohner17,Mycobacterium phage BodEinwohner17
NC_051638,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus bubbles123,Mycobacterium phage Bubbles123
NC_051639,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus burwell21,Mycobacterium phage Burwell21
NC_026593,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus buzzlyseyear,Mycobacterium phage BuzzLyseyear
NC_051641,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus byougenkin,Mycobacterium phage Byougenkin
NC_028842,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus captaintrips,Mycobacterium phage CaptainTrips
NC_051642,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus chuckly,Mycobacterium phage Chuckly
NC_028946,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus dante,Mycobacterium phage Dante
NC_051647,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus dilltech15,Mycobacterium phage DillTech15
NC_051648,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus donkeykong,Mycobacterium phage Donkeykong
NC_051649,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus doug,Mycobacterium phage Doug
NC_051650,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus DRBy19,Mycobacterium phage DRBy19
NC_051651,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus eish,Mycobacterium phage Eish
NC_051652,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus eleanorgeorge,Mycobacterium phage EleanorGeorge
NC_051653,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus emma,Mycobacterium phage Emma
NC_051654,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus empress,Mycobacterium phage Empress
NC_026585,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus estave1,Mycobacterium phage Estave1
NC_051656,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus fancypants,Mycobacterium phage Fancypants
NC_051657,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus filuzino,Mycobacterium phage Filuzino
NC_051658,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus firehouse51,Mycobacterium phage Firehouse51
NC_028889,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus florinda,Mycobacterium phage Florinda
NC_051661,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus galactic,Mycobacterium phage Galactic
NC_051662,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus gandalph,Mycobacterium phage Gandalph
NC_055730,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus geralt,Mycobacterium phage Geralt
NC_051663,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus girr,Mycobacterium phage Girr
NC_051664,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus gorge,Mycobacterium phage Gorge
NC_026595,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus hades,Mycobacterium phage Hades
NC_022056,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus hamulus,Mycobacterium phage Hamulus
NC_051665,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus harley,Mycobacterium phage Harley
NC_051668,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus hlubikazi,Mycobacterium phage Hlubikazi
NC_026596,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus inventum,Mycobacterium phage Inventum
NC_051669,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus joeyjr,Mycobacterium phage JoeyJr
NC_051672,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus kersh,Mycobacterium phage Kersh
NC_028792,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus kimberlium,Mycobacterium phage Kimberlium
NC_051675,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus krakatau,Mycobacterium phage Krakatau
NC_051676,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus kristaram,Mycobacterium phage KristaRAM
NC_055825,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus lilmoolah,Mycobacterium phage LilMoolah
NC_051678,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus lizziana,Mycobacterium phage Lizziana
NC_051679,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus mahavrat,Mycobacterium phage Mahavrat
NC_051680,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus mantra,Mycobacterium phage Mantra
NC_051681,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus mattes,Mycobacterium phage Mattes
NC_051682,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus melissauren88,Mycobacterium phage Melissauren88
NC_051683,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus milleniumforce,Mycobacterium phage MilleniumForce
NC_051684,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus miniondave,Mycobacterium phage MinionDave
NC_051685,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus minnie,Mycobacterium phage Minnie
NC_051687,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus moonbeam,Mycobacterium phage Moonbeam
NC_051690,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus nitzel,Mycobacterium phage Nitzel
NC_051691,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus nivrat,Mycobacterium phage Nivrat
NC_055787,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus ochi17,Mycobacterium phage Ochi17
NC_051693,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus oldben,Mycobacterium phage OldBen
NC_051694,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus olympiasaint,Mycobacterium phage OlympiaSaint
NC_028937,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus ovechkin,Mycobacterium phage Ovechkin
NC_051695,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus owlsT2W,Mycobacterium phage OwlsT2W
NC_051696,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus phasih,Mycobacterium phage Phasih
NC_028844,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus phatniss,Mycobacterium phage Phatniss
NC_055909,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus plumbus,Mycobacterium phage Plumbus
NC_051699,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus poenanya,Mycobacterium phage Poenanya
NC_051700,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus polka14,Mycobacterium phage Polka14
NC_028961,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus poptart,Mycobacterium phage PopTart
NC_051702,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus priscilla,Mycobacterium phage Priscilla
NC_051703,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus quickmath,Mycobacterium phage QuickMath
NC_051704,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus ritaG,Mycobacterium phage RitaG
NC_051705,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus royals2015,Mycobacterium phage Royals2015
NC_023580,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus saal,Mycobacterium phage Saal
NC_051706,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus sandalphon,Mycobacterium phage Sandalphon
NC_021301,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus sisi,Mycobacterium phage SiSi
NC_028654,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus sparkdehlily,Mycobacterium phage Sparkdehlily
NC_051710,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus spikelee,Mycobacterium phage Spikelee
NC_051711,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus spoonbill,Mycobacterium phage Spoonbill
NC_051713,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus supergrey,Mycobacterium phage SuperGrey
NC_051714,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus swagpigglett,Mycobacterium phage SwagPigglett
NC_051716,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus veteran,Mycobacterium phage Veteran
NC_051717,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus wachhund,Mycobacterium phage Wachhund
NC_051718,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus whouxphf,Mycobacterium phage Whouxphf
NC_051719,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus willsterrel,Mycobacterium phage WillSterrel
NC_028910,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus xfactor,Mycobacterium phage XFactor
NC_051720,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Cheoctovirus zerg,Mycobacterium phage Zerg
NC_013936,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Ardmore,Mycobacterium phage Ardmore
NC_011054,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Boomer,Mycobacterium phage Boomer
NC_023728,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus DeadP,Mycobacterium phage DeadP
NC_042317,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Dlane,Mycobacterium phage Dlane
NC_041855,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Dorothy,Mycobacterium phage Dorothy
NC_042336,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus DotProduct,Mycobacterium phage DotProduct
NC_023721,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Drago,Mycobacterium phage Drago
NC_011288,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Fruitloop,Mycobacterium phage Fruitloop
NC_023746,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus GUmbie,Mycobacterium phage GUmbie
NC_042319,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Ibhubesi,Mycobacterium phage Ibhubesi
NC_008196,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Llij,Mycobacterium phage Llij
NC_042323,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Mozy,Mycobacterium phage Mozy
NC_041847,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Mutaforma13,Mycobacterium phage Mutaforma13
NC_011287,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Pacc40,Mycobacterium phage Pacc40
NC_008205,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus PMC,Mycobacterium phage PMC
NC_011289,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Ramsey,Mycobacterium phage Ramsey
NC_042315,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus RockyHorror,Mycobacterium phage RockyHorror
NC_023699,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus SG4,Mycobacterium phage SG4
NC_041989,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Shauna1,Mycobacterium phage Shauna1
NC_041988,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Shilan,Mycobacterium phage ShiLan
NC_041986,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Spartacus,Mycobacterium phage Spartacus
NC_025433,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Taj,Mycobacterium phage Taj
NC_009820,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Tweety,Mycobacterium phage Tweety
NC_014901,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Wee,Mycobacterium phage Wee
NC_048850,Caudoviricetes,,,Gracegardnervirinae,Cornievirus,Mycobacterium virus Cornie,Mycobacterium phage Cornie
NC_051721,Caudoviricetes,,,Gracegardnervirinae,Moomoovirus,Moomoovirus moomoo,Mycobacterium phage MooMoo
NC_026588,Caudoviricetes,,,Gracegardnervirinae,Squirtyvirus,Mycobacterium virus Squirty,Mycobacterium phage Squirty
NC_048729,Caudoviricetes,,,Gracegardnervirinae,Thetabobvirus,Mycobacterium virus Renaud18,Mycobacterium phage Renaud18
NC_048705,Caudoviricetes,,,Gracegardnervirinae,Thetabobvirus,Mycobacterium virus TChen,Mycobacterium phage TChen
NC_048788,Caudoviricetes,,,Gracegardnervirinae,Thetabobvirus,Mycobacterium virus ThetaBob,Mycobacterium phage ThetaBob
NC_006548,Caudoviricetes,,,Guarnerosvirinae,Beetrevirus,Beetrevirus B3,Pseudomonas phage B3
NC_042135,Caudoviricetes,,,Guarnerosvirinae,Mechnikovvirus,Mechnikovvirus JBD67,Pseudomonas phage JBD67
NC_027986,Caudoviricetes,,,Guarnerosvirinae,Mechnikovvirus,Mechnikovvirus JD18,Pseudomonas phage JD18
NC_028667,Caudoviricetes,,,Guarnerosvirinae,Mechnikovvirus,Mechnikovvirus PM105,Pseudomonas phage vB_PaeS_PM105
NC_021775,Caudoviricetes,,,Guernseyvirinae,Cornellvirus,Cornellvirus SP31,Salmonella phage FSL SP-031
NC_041991,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus AG11,Salmonella phage vB_SenS_AG11
NC_019539,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus Ent1,Salmonella phage vB_SenS-Ent1
NC_028698,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus f18SE,Salmonella phage f18SE
NC_021777,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus jersey,Salmonella phage Jersey
NC_026017,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus LSPA1,Salmonella phage LSPA1
NC_016763,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus SE2,Salmonella phage SE2
NC_009232,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus SETP3,Salmonella phage SETP7
NC_022754,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus SETP7,Salmonella phage SETP7
NC_022752,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus SETP13,Salmonella phage SETP13
NC_042065,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus SP101,Salmonella phage FSL SP-101
NC_006940,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus SS3e,Salmonella phage SS3e
NC_041992,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus wksl3,Salmonella phage wks13
NC_042084,Caudoviricetes,,,Guernseyvirinae,Kagunavirus,Kagunavirus golestan,Escherichia phage vB_EcoS-Golestan
NC_027993,Caudoviricetes,,,Guernseyvirinae,Kagunavirus,Kagunavirus K1G,Escherichia phage K1G
NC_027994,Caudoviricetes,,,Guernseyvirinae,Kagunavirus,Kagunavirus K1H,Escherichia phage K1H
NC_041897,Caudoviricetes,,,Guernseyvirinae,Kagunavirus,Kagunavirus K1ind1,Escherichia phage K1ind1
NC_041898,Caudoviricetes,,,Guernseyvirinae,Kagunavirus,Kagunavirus K1ind2,Escherichia phage K1ind2
NC_048181,Caudoviricetes,,,Guernseyvirinae,Kagunavirus,Kagunavirus RP180,Raoultella phage RP180
NC_048698,Caudoviricetes,,,Gutmannvirinae,Carmenvirus,Carmenvirus carmen17,Bacillus phage Carmen17
NC_048725,Caudoviricetes,,,Gutmannvirinae,Carmenvirus,Carmenvirus Wes44,Bacillus phage Wes44
NC_017976,Caudoviricetes,,,Gutmannvirinae,Pebcunavirus,Pebcunavirus PBC1,Bacillus phage PBC1
NC_002167,Caudoviricetes,,,Hendrixvirinae,Byrnievirus,Byrnievirus HK97,Escherichia phage HK97
NC_019709,Caudoviricetes,,,Hendrixvirinae,Cuauhtlivirus,Cuauhtlivirus mEpX1,Escherichia phage mEpX1
NC_019714,Caudoviricetes,,,Hendrixvirinae,Kwaitsingvirus,Kwaitsingvirus HK446,Escherichia phage HK446
NC_019767,Caudoviricetes,,,Hendrixvirinae,Kwaitsingvirus,Kwaitsingvirus HK544,Escherichia phage HK544
NC_019708,Caudoviricetes,,,Hendrixvirinae,Nochtlivirus,Nochtlivirus mEp235,Enterobacteria phage mEp235
NC_016160,Caudoviricetes,,,Hendrixvirinae,Saikungvirus,Saikungvirus HK75,Escherichia phage HK75
NC_019719,Caudoviricetes,,,Hendrixvirinae,Saikungvirus,Saikungvirus HK633,Escherichia phage HK633
NC_002166,Caudoviricetes,,,Hendrixvirinae,Shamshuipovirus,Shamshuipovirus HK022,Escherichia phage HK022
NC_019705,Caudoviricetes,,,Hendrixvirinae,Shamshuipovirus,Shamshuipovirus mEpX2,Escherichia phage mEpX2
NC_019768,Caudoviricetes,,,Hendrixvirinae,Wanchaivirus,Wanchaivirus HK106,Escherichia phage HK106
NC_019715,Caudoviricetes,,,Hendrixvirinae,Wanchaivirus,Wanchaivirus mEp234,Escherichia phage mEp234
NC_049926,Caudoviricetes,,,Hendrixvirinae,Wongtaivirus,Wongtaivirus ECP1,Escherichia phage ECP1
NC_019769,Caudoviricetes,,,Hendrixvirinae,Wongtaivirus,Wongtaivirus HK542,Escherichia phage HK542
NC_019710,Caudoviricetes,,,Hendrixvirinae,Yautsimvirus,Yautsimvirus HK140,Enterobacteria phage HK140
NC_031048,Caudoviricetes,,,Iiscvirinae,Aryavirus,Aryavirus arya,Enterobacter phage Arya
NC_027995,Caudoviricetes,,,Iiscvirinae,Jilinvirus,Jilinvirus CVM10,Escherichia phage vB_EcoM_ECO1230-10
NC_041926,Caudoviricetes,,,Iiscvirinae,Jilinvirus,Jilinvirus ECOO78,Escherichia phage vB_EcoM_ECOO78
NC_025430,Caudoviricetes,,,Iiscvirinae,Jilinvirus,Jilinvirus ep3,Escherichia phage vB_EcoM-ep3
NC_020204,Caudoviricetes,,,Jameshumphriesvirinae,Jedunavirus,Jedunavirus JD001,Klebsiella phage JD001
NC_044940,Caudoviricetes,,,Jameshumphriesvirinae,Peatvirus,Peatvirus peat2,Pectinobacterium phage PEAT2
NC_041900,Caudoviricetes,,,Jameshumphriesvirinae,Sircambvirus,Sircambvirus KpV52,Klebsiella phage vB_KpnM_KpV52
NC_042041,Caudoviricetes,,,Jameshumphriesvirinae,Sircambvirus,Sircambvirus KpV79,Klebsiella phage vB_KpnM_KpV79
NC_023007,Caudoviricetes,,,Joanripponvirinae,Tsamsavirus,Tsamsavirus tsamsa,Bacillus phage vB_BanS-Tsamsa
NC_018278,Caudoviricetes,,,Jondennisvirinae,Kilunavirus,Kilunavirus KL1,Burkholderia phage vB_BceS_KL1
NC_024381,Caudoviricetes,,,Jondennisvirinae,Septimatrevirus,Septimatrevirus Ab26,Pseudomonas phage vB_PaeS_SCH_Ab26
NC_017864,Caudoviricetes,,,Jondennisvirinae,Septimatrevirus,Septimatrevirus kakheti25,Pseudomonas phage vB_Pae-Kakheti25
NC_007806,Caudoviricetes,,,Jondennisvirinae,Septimatrevirus,Septimatrevirus sv73,Pseudomonas phage 73
NC_054460,Caudoviricetes,,,Kantovirinae,Beograduvirus,Beograduvirus KPhi1,Xanthomonas phage KPhi1
NC_054461,Caudoviricetes,,,Kantovirinae,Beograduvirus,Beograduvirus Xaf18,Xanthomonas virus phiXaf18
NC_007710,Caudoviricetes,,,Kantovirinae,Tsukubavirus,Tsukubavirus OP2,Xanthomonas phage OP2
NC_054458,Caudoviricetes,,,Kantovirinae,Tsukubavirus,Tsukubavirus XPP1,Xanthomonas phage XPP1
NC_054459,Caudoviricetes,,,Kantovirinae,Tsukubavirus,Tsukubavirus XPV1,Xanthomonas phage XPV1
NC_047987,Caudoviricetes,,,Kutznervirinae,Mementomorivirus,Mementomorivirus mementomori,Microbacterium phage MementoMori
NC_048165,Caudoviricetes,,,Kutznervirinae,Metamorphoovirus,Metamorphoovirus fireman,Microbacterium phage Fireman
NC_047988,Caudoviricetes,,,Kutznervirinae,Metamorphoovirus,Metamorphoovirus metamorphoo,Microbacterium phage Metamorphoo
NC_047989,Caudoviricetes,,,Kutznervirinae,Metamorphoovirus,Metamorphoovirus robsfeet,Microbacterium phage RobsFeet
NC_048020,Caudoviricetes,,,Kutznervirinae,Quhwahvirus,Quhwahvirus kaihaidragon,Microbacterium phage KaiHaiDragon
NC_047976,Caudoviricetes,,,Kutznervirinae,Quhwahvirus,Quhwahvirus paschalis,Microbacterium phage Paschalis
NC_047993,Caudoviricetes,,,Kutznervirinae,Quhwahvirus,Quhwahvirus quhwah,Microbacterium phage Quhwah
NC_048146,Caudoviricetes,,,Langleyhallvirinae,Getalongvirus,Getalongvirus asapag,Gordonia phage Asapag
NC_047891,Caudoviricetes,,,Langleyhallvirinae,Getalongvirus,Getalongvirus bentherdunthat,Gordonia phage BENtherdunthat
NC_048083,Caudoviricetes,,,Langleyhallvirinae,Getalongvirus,Getalongvirus getalong,Gordonia phage Getalong
NC_048141,Caudoviricetes,,,Langleyhallvirinae,Getalongvirus,Getalongvirus kenna,Gordonia phage Kenna
NC_048039,Caudoviricetes,,,Langleyhallvirinae,Horusvirus,Horusvirus horus,Gordonia phage Horus
NC_048040,Caudoviricetes,,,Langleyhallvirinae,Phistoryvirus,Phistoryvirus phistory,Gordonia phage Phistory
NC_054986,Caudoviricetes,,,Mccleskeyvirinae,Limdunavirus,Limdunavirus LDG,Leuconostoc phage LDG
NC_018273,Caudoviricetes,,,Mccleskeyvirinae,Limdunavirus,Limdunavirus Lmd1,Leuconostoc phage Lmd1
NC_024390,Caudoviricetes,,,Mccleskeyvirinae,Limdunavirus,Limdunavirus LN03,Leuconostoc phage LN03
NC_020870,Caudoviricetes,,,Mccleskeyvirinae,Limdunavirus,Limdunavirus LN04,Leuconostoc phage LN04
NC_024385,Caudoviricetes,,,Mccleskeyvirinae,Limdunavirus,Limdunavirus LN12,Leuconostoc phage phiLN12
NC_020880,Caudoviricetes,,,Mccleskeyvirinae,Limdunavirus,Limdunavirus P793,Leuconostoc phage P793
NC_054987,Caudoviricetes,,,Mccleskeyvirinae,Limdunavirus,Limdunavirus P965,Leuconostoc phage P965
NC_054988,Caudoviricetes,,,Mccleskeyvirinae,Unaquatrovirus,Unaquatrovirus Ln7,Leuconostoc phage Ln-7
