genome_accn,genome_name,genome_length,total_proteins,taxonomy_string
NC_048658,"Staphylococcus phage SA7, complete genome",34730,53,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Peeveelvirus; Peeveelvirus SA7
NC_048659,"Pectobacterium phage phiA41, complete genome",75764,97,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Cbunavirus; Cbunavirus A41
NC_048660,"Aeromonas phage phiA8-29, complete genome",144974,185,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ackermannviridae; Tedavirus; Tedavirus A829
NC_048661,"Clostridium phage CPS1, complete genome",19089,25,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guelinviridae; Denniswatsonvirinae; Gregsiragusavirus; Gregsiragusavirus CPS1
NC_048662,"Pseudomonas phage R12 DNA, complete genome",65415,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus R12
NC_048663,"Pseudomonas phage R26 DNA, complete genome",65737,93,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus R26
NC_048664,"Cronobacter phage vB_CsaP_009 DNA, complete genome",92122,140,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Grimontviridae; Privateervirus; Privateervirus pv009
NC_048665,"Clostridium phage phiCDHM14, complete genome",32651,50,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sherbrookevirus; Sherbrookevirus CDHM14
NC_048666,Salmonella phage YSD1 strain YSD1_PHAGE genome assembly,58916,71,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Chivirus; Chivirus YSD1
NC_048667,"Bacillus phage Deep-Purple, complete genome",36278,40,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Deurplevirus; Deurplevirus deeppurple
NC_048668,"Serratia phage 2050HW, complete genome",276025,363,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Moabitevirus; Moabitevirus mv2050HW
NC_048669,"Rhodococcus phage Hiro, complete genome",46854,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rerduovirus; Rerduovirus hiro
NC_048670,"Klebsiella phage KPN N137, complete genome",59100,79,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Yonseivirus; Yonseivirus N137
NC_048671,"Lentibacter phage vB_LenP_ICBM2, complete genome",40907,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Zobellviridae; Cobavirinae; Veravirus; Veravirus septentrionalis
NC_048672,"Lentibacter phage vB_LenP_ICBM1, complete genome",40163,58,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Zobellviridae; Cobavirinae; Siovirus; Siovirus germanense
NC_048673,"Aeromonas phage AS-zj, complete genome",229929,402,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Emmerichvirinae; Ceceduovirus; Ceceduovirus aszj
NC_048674,"Aeromonas phage AS-sw, partial genome",230024,406,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Emmerichvirinae; Ceceduovirus; Ceceduovirus assw
NC_048675,"Pseudomonas phage BrSP1, complete genome",66189,94,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus BrSP1
NC_048676,"Pseudomonas phage SL1, complete genome",65847,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus SL1
NC_048677,"Lactobacillus phage LpeD, complete genome",145162,100,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Elpedvirus; Elpedvirus LpeD
NC_048678,"Leptospira phage LE3, complete genome",48288,83,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Nylescharonvirus; Nylescharonvirus LE3
NC_048679,"Leptospira phage LE4, complete genome",47866,81,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Nylescharonvirus; Nylescharonvirus LE4
NC_048680,"Lactobacillus phage LJ, complete genome",44260,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Junavirus; Junavirus LJ
NC_048681,"Staphylococcus phage phiSa2wa_st22, complete genome",38576,53,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Biseptimavirus; Biseptimavirus st22
NC_048682,"Raoultella phage Ro1, complete genome",145759,245,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vequintavirinae; Mydovirus; Mydovirus Ro1
NC_048683,"Salmonella phage KFS-SE1, complete genome",59715,73,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Chivirus; Chivirus KFSSE1
NC_048684,"Streptomyces phage WRightOn, complete genome",45221,64,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beephvirinae; Manuelvirus; Manuelvirus wrighton
NC_048685,"Streptomyces phage Manuel, complete genome",45177,63,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beephvirinae; Manuelvirus; Manuelvirus manuel
NC_048686,"Streptomyces phage Immanuel3, complete genome",46094,62,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beephvirinae; Immanueltrevirus; Immanueltrevirus immanuel3
NC_048687,"Pseudomonas phage PMBT14, complete genome",47820,76,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Knuthellervirus; Knuthellervirus PMBT14
NC_048688,"Paenibacillus phage BN12, complete genome",39485,73,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus BN12
NC_048689,"Paenibacillus phage PBL1c, complete genome",40611,79,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus PBL1c
NC_048690,"Paenibacillus phage Pagassa, complete genome",40035,70,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus pagassa
NC_048691,"Paenibacillus phage Tadhana, complete genome",37880,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus tadhana
NC_048692,"Paenibacillus phage Leyra, complete genome",42276,75,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus leyra
NC_048693,"Paenibacillus phage Likha, complete genome",39778,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus likha
NC_048694,"Klebsiella phage vB_Kpn_F48, complete genome",170764,283,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Marfavirus; Marfavirus F48
NC_048695,"Gordonia phage Adgers, complete genome",76008,108,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Montyvirus; Montyvirus adgers
NC_048696,"Mycobacterium phage Cuke, complete genome",68869,127,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Cukevirus; Cukevirus cuke
NC_048697,"Pseudomonas phage Littlefix, complete genome",74895,95,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Littlefixvirus; Littlefixvirus littlefix
NC_048698,"Bacillus phage Carmen17, complete genome",41820,51,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gutmannvirinae; Carmenvirus; Carmenvirus carmen17
NC_048699,"Pseudomonas phage vB_PaeM_LS1, complete genome",66095,93,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus LS1
NC_048700,"Klebsiella phage KP8, complete genome",73679,97,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Enquatrovirinae; Kaypoctavirus; Kaypoctavirus KP8
NC_048701,"Anoxybacillus phage A403, complete genome",40847,61,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Tandoganvirus; Tandoganvirus A403
NC_048702,"Erwinia phage vB_EamM-Bue1, complete genome",164037,175,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ackermannviridae; Nezavisimistyvirus; Nezavisimistyvirus bue1
NC_048703,"Xanthomonas phage RiverRider, complete genome",76335,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Riverridervirus; Riverridervirus riverrider
NC_048704,"Pectobacterium phage Nepra, complete genome",74509,92,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Cbunavirus; Cbunavirus nepra
NC_048705,"Mycobacterium phage TChen, complete genome",57742,101,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gracegardnervirinae; Thetabobvirus; Mycobacterium virus TChen
NC_048706,"Streptomyces phage FlowerPower, complete genome",46133,66,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beephvirinae; Flowerpowervirus; Flowerpowervirus flowerpower
NC_048707,"Clostridium phage CPS2, complete genome",17961,25,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guelinviridae; Brucesealvirus; Brucesealvirus CPS2
NC_048708,"Rhodococcus phage Takoda, complete genome",46807,67,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rerduovirus; Rerduovirus takoda
NC_048709,"Vibrio phage YC, complete genome",147890,195,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ackermannviridae; Campanilevirus; Campanilevirus YC
NC_048710,"Staphylococcus phage SA1014ruMSSAST7, complete genome",43504,64,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Biseptimavirus; Biseptimavirus SA1014ruMSSAST7
NC_048711,"Staphylococcus phage SA780ruMSSAST101, complete genome",43184,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Peeveelvirus; Peeveelvirus SA780ruMSSAST101
NC_048712,"Clostridium phage susfortuna, complete genome",19046,28,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guelinviridae; Susfortunavirus; Susfortunavirus susfortuna
NC_048713,"Staphylococcus aureus phage SA345ruMSSAST8, complete genome",42735,64,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Biseptimavirus; Biseptimavirus SA345ruMSSAST8
NC_048714,"Paenibacillus phage Yerffej, complete genome",43126,69,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus yyerffej
NC_048715,"Paenibacillus phage Kawika, complete genome",40769,71,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus kawika
NC_048716,"Paenibacillus phage Lucielle, complete genome",37947,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus lucielle
NC_048717,"Paenibacillus phage Eltigre, complete genome",38675,67,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus eltigre
NC_048718,"Paenibacillus phage Jacopo, complete genome",38526,66,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus jacopo
NC_048719,"Streptomyces phage Annadreamy, complete genome",125726,229,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Loccivirinae; Annadreamyvirus; Annadreamyvirus annadreamy
NC_048720,"Streptomyces phage Blueeyedbeauty, complete genome",130473,240,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Loccivirinae; Annadreamyvirus; Annadreamyvirus blueeyedbeauty
NC_048721,"Streptomyces phage StarPlatinum, complete genome",133886,251,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Boydwoodruffvirinae; Karimacvirus; Streptomyces virus StarPlatinum
NC_048722,"Streptomyces phage Wofford, complete genome",133007,236,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Boydwoodruffvirinae; Karimacvirus; Streptomyces virus Wofford
NC_048723,"Streptomyces phage LukeCage, complete genome",133195,248,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Boydwoodruffvirinae; Karimacvirus; Streptomyces virus LukeCage
NC_048724,"Streptomyces phage Karimac, complete genome",131909,241,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Boydwoodruffvirinae; Karimacvirus; Streptomyces virus Karimac
NC_048725,"Bacillus phage Wes44, complete genome",42248,54,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gutmannvirinae; Carmenvirus; Carmenvirus Wes44
NC_048726,"Bacillus phage BSP38, complete genome",153268,254,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Bastillevirinae; Jeonjuvirus; Jeonjuvirus BSP38
NC_048727,"Salmonella phage Siskin, complete genome",58476,74,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Chivirus; Chivirus siskin
NC_048728,"Streptomyces phage Comrade, complete genome",129015,229,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Loccivirinae; Gilsonvirus; Gilsonvirus comrade
NC_048729,"Mycobacterium phage Renaud18, complete genome",58078,112,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gracegardnervirinae; Thetabobvirus; Mycobacterium virus Renaud18
NC_048730,"Streptomyces phage Yaboi, complete genome",131250,242,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Boydwoodruffvirinae; Karimacvirus; Streptomyces virus Yaboi
NC_048731,"Escherichia phage fp01, complete genome",109515,158,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus fp01
NC_048732,"Klebsiella phage Seifer, complete genome",58197,82,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Yonseivirus; Yonseivirus seifer
NC_048733,"Microbacterium phage Burro, complete genome",54473,49,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Burrovirus; Burrovirus burro
NC_048734,"Mycobacterium phage Fowlmouth, complete genome",69660,120,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fowlmouthvirus; Fowlmouthvirus fowlmouth
NC_048735,"Bacillus phage vB_BboS-125, complete genome",58528,80,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Elmenteitavirus; Elmenteitavirus ev125
NC_048736,"Serratia phage vB_SmaA_3M, complete genome",159398,201,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ackermannviridae; Miltonvirus; Miltonvirus 3M
NC_048737,"Lactobacillus phage BH1, complete genome",40721,57,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Behunavirus; Behunavirus BH1
NC_048738,"Clostridium phage CPD2, complete genome",18212,22,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guelinviridae; Denniswatsonvirinae; Gregsiragusavirus; Gregsiragusavirus CPD2
NC_048739,"Arthrobacter phage Anjali, complete genome",19679,27,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Anjalivirus; Anjalivirus anjali
NC_048740,"Arthrobacter phage Mendel, complete genome",19428,28,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Anjalivirus; Anjalivirus mendel
NC_048741,"Proteus phage Mydo, complete genome",145127,264,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vequintavirinae; Mydovirus; Mydovirus mydo
NC_048742,"Streptomyces phage Gilson, complete genome",128338,231,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanwilliamsviridae; Loccivirinae; Gilsonvirus; Gilsonvirus gilson
NC_048743,"Mycobacterium phage DrLupo, complete genome",70030,110,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Barnyardvirus; Barnyardvirus drlupo
NC_048744,"Pseudomonas phage EPa61, complete genome",65905,92,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus EPa61
NC_048745,"Pseudomonas phage vB_PaeM_SCUT-S1, complete genome",66086,94,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus S1
NC_048746,"Gordonia phage Sombrero, complete genome",76485,108,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Montyvirus; Montyvirus sombrero
NC_048747,"Vibrio phage 2 TSL-2019, complete genome",242446,217,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gorgonvirinae; Aphroditevirus; Aphroditevirus av2TSL2019
NC_048748,"Escherichia phage vB_EcoS_HdH2, complete genome",120120,178,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus HdH2
NC_048749,"Gordonia phage Rickmore, complete genome",60218,92,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Deejayvirinae; Kenoshavirus; Kenoshavirus rickmore
NC_048750,"Gordonia phage Duffington, complete genome",61343,92,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Deejayvirinae; Kenoshavirus; Kenoshavirus duffington
NC_048751,"Pantoea phage vB_PagM_LIET2, complete genome",74710,131,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lietduovirus; Lietduovirus LIET2
NC_048752,"Lactobacillus phage 521B, complete genome",136442,188,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Tybeckvirus; Tybeckvirus tv521B
NC_048753,"Lactobacillus phage 3-521, complete genome",140816,155,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Watanabevirus; Watanabevirus wv3521
NC_048754,"Lactobacillus phage SAC12B, complete genome",136608,191,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Tybeckvirus; Tybeckvirus SAC12B
NC_048756,"Nodularia phage vB_NspS-kac65v151, complete genome",146618,206,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ravarandavirus; Ravarandavirus kac65v151
NC_048757,"Nodularia phage vB_NspS-kac68v161, complete genome",145400,198,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ravarandavirus; Ravarandavirus kac68v161
NC_048758,"Serratia phage Parlo, complete genome",62853,87,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Parlovirus; Parlovirus parlo
NC_048759,"Serratia phage MTx, partial genome",68621,103,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Myosmarvirus; Myosmarvirus MTx
NC_048760,"Salmonella phage Sepoy, complete genome",114080,184,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Epseptimavirus; Epseptimavirus sepoy
NC_048761,"Microbacterium phage Akoni, complete genome",54307,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eekayvirinae; Akonivirus; Akonivirus akoni
NC_048762,"Bacillus phage vB_BtS_B83, complete genome",49952,71,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Skryabinvirinae; Pushchinovirus; Pushchinovirus B83
NC_048763,"Salmonella phage SE13, complete genome",52438,73,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rosemountvirus; Rosemountvirus SE13
NC_048765,"Vibrio phage VAP7, complete genome",144685,192,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ackermannviridae; Vapseptimavirus; Vapseptimavirus VAP7
NC_048766,"Pantoea phage vB_PagM_AAM37, complete genome",49990,86,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Dibbivirus; Dibbivirus AAM37
NC_048767,"Pantoea phage vB_PagM_PSKM, complete genome",49935,82,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Dibbivirus; Dibbivirus PSKM
NC_048768,"Gordonia phage Chelms, complete genome",76261,104,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Montyvirus; Montyvirus chelms
NC_048769,"Aeromonas phage 2-L372D, complete genome",122963,217,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Plateaulakevirus; Plateaulakevirus pv2L372D
NC_048770,"Aeromonas phage 2_L372X, complete genome",115893,211,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Plateaulakevirus; Plateaulakevirus pv2L372X
NC_048771,"Aeromonas phage 4_L372D, complete genome",138690,251,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Plateaulakevirus; Plateaulakevirus pv4L372D
NC_048772,"Aeromonas phage 4_L372XY, complete genome",124279,221,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Plateaulakevirus; Plateaulakevirus pv4L372XY
NC_048773,"Aeromonas phage 4_4572, complete genome",102915,154,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lahexavirus; Lahexavirus lv44572
NC_048774,"Aeromonas phage LAh_6, complete genome",101390,164,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lahexavirus; Lahexavirus LAh6
NC_048775,"Aeromonas phage LAh_8, complete genome",97408,143,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lahexavirus; Lahexavirus LAh8
NC_048776,"Aeromonas phage LAh_9, complete genome",97988,147,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lahexavirus; Lahexavirus LAh9
NC_048777,"Microbacterium phage TinyTimothy, complete genome",53932,53,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eekayvirinae; Tinytimothyvirus; Tinytimothyvirus tinytimothy
NC_048778,"Microbacterium phage Alex44, complete genome",54396,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eekayvirinae; Tinytimothyvirus; Tinytimothyvirus alex44
NC_048779,"Vibrio phage USC-1, complete genome",238099,210,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gorgonvirinae; Aphroditevirus; Aphroditevirus USC1
NC_048780,"Corynebacterium phage StAB, complete genome",45751,61,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Samwavirus; Samwavirus StAB
NC_048781,"Salmonella phage vB_SenS_SB13, complete genome",112513,207,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Epseptimavirus; Epseptimavirus SB13
NC_048782,"Rhodococcus phage Sleepyhead, complete genome",43943,67,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sleepyheadvirus; Sleepyheadvirus sleepyhead
NC_048783,"Gordonia phage Beaver, complete genome",77394,109,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Montyvirus; Montyvirus beaver
NC_048784,"Rhodococcus phage Whack, complete genome",49660,77,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Whackvirus; Whackvirus whack
NC_048785,"Salmonella phage SE24, complete genome",114855,147,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Epseptimavirus; Epseptimavirus SE24
NC_048786,"Salmonella phage SE11, complete genome",107763,142,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus SE11
NC_048787,"Corynebacterium phage Dina, complete genome",44381,63,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Samwavirus; Samwavirus dina
NC_048788,"Mycobacterium phage ThetaBob, complete genome",56714,106,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gracegardnervirinae; Thetabobvirus; Mycobacterium virus ThetaBob
NC_048789,"Corynebacterium phage Stiles, complete genome",42846,54,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Samwavirus; Samwavirus stiles
NC_048791,"Corynebacterium phage Adelaide, complete genome",44104,57,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Samwavirus; Samwavirus adelaide
NC_048792,"Serratia phage Moabite, complete genome",273933,338,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Moabitevirus; Moabitevirus moabite
NC_048793,"Gordonia phage Kenosha, complete genome",60899,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Deejayvirinae; Kenoshavirus; Kenoshavirus kenosha
NC_048794,"Salmonella phage VSe12, complete genome",109654,166,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus VSe12
NC_048795,"Salmonella phage Th1, complete genome",110466,142,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus Th1
NC_048796,"Panteoa phage Kyle, complete genome",73168,113,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kylevirus; Kylevirus kyle
NC_048797,"Bacillus phage vB_BmeM-Goe8, complete genome",161583,246,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Bastillevirinae; Goettingenvirus; Goettingenvirus goe8
NC_048798,"Klebsiella phage Marfa, complete genome",168532,279,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Marfavirus; Marfavirus marfa
NC_048799,"Escherichia phage Mangalitsa, complete genome",52329,82,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chaseviridae; Cleopatravirinae; Carltongylesvirus; Carltongylesvirus mangalitsa
NC_048800,"Serratia phage MyoSmar, complete genome",68745,105,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Myosmarvirus; Myosmarvirus myosmar
NC_048801,"Microbacterium phage Araxxi, complete genome",53981,50,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Burrovirus; Burrovirus araxxi
NC_048802,"Stenotrophomonas phage Moby, complete genome",159365,271,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Menderavirus; Menderavirus moby
